ID,logFC,AveExpr,t,P.Value,adj.P.Val
STEAP2,-1.76054200065755,1.13979204543806,-4.55747518403016,2.47E-05,0.006093622734389
CYP4F3,2.51332038427574,-2.79240867432091,4.55706172173469,2.48E-05,0.006093622734389
LAMC3,1.12693218031038,3.57230309449483,4.55420126126565,2.50E-05,0.006108712429856
GABBR2,2.63381392259727,-1.72166464874114,4.54283109014494,2.61E-05,0.006271800699571
CXCL12,-1.30429434587957,3.79847285903731,-4.54070861558153,2.63E-05,0.006271800699571
BEX1,2.10258363192408,-3.36040372249439,4.5403972979523,2.63E-05,0.006271800699571
EPHB2,-1.06764722797204,2.08885597807867,-4.5375718817194,2.66E-05,0.00628790289723
SOX2,1.60019079769621,0.439377715681346,4.53451328766761,2.69E-05,0.006309612216835
LGI1,2.74560259913937,-1.6921971438314,4.52490585068438,2.78E-05,0.006476905066091
ADCY8,2.31921773155081,-2.2818243197815,4.5214740275578,2.81E-05,0.006476905066091
DAW1,2.37650073545107,-3.52859717559872,4.51999740188166,2.83E-05,0.006476905066091
IRF1,-0.984849493881088,4.35086852922939,-4.51893689618651,2.84E-05,0.006476905066091
ALK,0.83600548486972,4.6955350870808,4.49888424727375,3.05E-05,0.006904912551734
FOXP1,-0.769999192554268,5.31399204136805,-4.49533684145337,3.09E-05,0.006942693536874
LIFR,-1.07715253506889,4.01057464252212,-4.48204691805206,3.24E-05,0.007182629116993
MKLN1,0.363161578048415,8.16351118062271,4.48176695703474,3.24E-05,0.007182629116993
CDC42EP3,0.511941312073086,3.81785833339917,4.47443316935294,3.32E-05,0.007320251612456
LAMP3,-2.0715999212365,0.931800262046522,-4.46363059408012,3.45E-05,0.007489872619985
APLP1,2.07034859499517,1.31363814781669,4.46322455799849,3.46E-05,0.007489872619985
C3,-1.55522615390801,6.451175500165,-4.46211934917976,3.47E-05,0.007489872619985
GSTM3,1.09905204864289,3.41067237075325,4.45412638991819,3.57E-05,0.007633979863432
