p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,diffexpressed
6.06E-80,-0.111060557822911,0.161,0.229,2.16E-75,SLC39A7,ECM
6.17E-80,-0.135413830732883,0.035,0.052,2.20E-75,SMAD9,ECM
6.23E-80,-0.138653350289037,0.11,0.167,2.22E-75,G2E3-AS1,ECM
6.75E-80,-0.04315870485506,0.001,0.014,2.41E-75,DYDC2,ECM
7.00E-80,-0.109723421112335,0.051,0.094,2.49E-75,AL353697.1,ECM
7.42E-80,-0.299414475670587,0.154,0.189,2.65E-75,TMEM232,ECM
8.39E-80,0.190011127735054,0.776,0.756,2.99E-75,PBRM1,MBM
8.64E-80,0.140860322065857,0.076,0.042,3.08E-75,AL512380.2,MBM
1.02E-79,0.161522396060958,0.141,0.089,3.63E-75,WNK2,MBM
1.16E-79,-0.164979916842677,0.359,0.437,4.15E-75,NFATC2IP,ECM
1.23E-79,-0.211256968228003,0.306,0.384,4.38E-75,AC015923.1,ECM
1.25E-79,0.190223620577477,0.495,0.45,4.44E-75,PPP3CC,MBM
1.25E-79,0.153385234876158,0.142,0.106,4.44E-75,CLDN15,MBM
1.29E-79,0.046633159245501,0.055,0.026,4.60E-75,SULF2,MBM
1.34E-79,-0.023933243837962,0,0.011,4.77E-75,AC092916.1,ECM
1.41E-79,-0.069943154185154,0.007,0.028,5.03E-75,CCL18,ECM
1.60E-79,0.14069216827097,0.132,0.094,5.69E-75,KLF9,MBM
1.63E-79,-0.035429226010956,0.001,0.015,5.82E-75,SLITRK1,ECM
1.71E-79,0.112047666353194,0.136,0.086,6.09E-75,MED9,MBM
1.74E-79,-0.080138986030203,0.005,0.021,6.20E-75,C4orf54,ECM
1.79E-79,0.188913464362572,0.397,0.338,6.37E-75,TSNAX,MBM
1.96E-79,-0.118602482001937,0.133,0.198,7.00E-75,PPP1R15A,ECM
2.12E-79,-0.174239591155635,0.256,0.332,7.55E-75,LAMB2,ECM
2.29E-79,-0.059952451504689,0.046,0.083,8.17E-75,TMEM185B,ECM
2.35E-79,-0.031227750788519,0.001,0.014,8.38E-75,AL354821.1,ECM
2.37E-79,-0.04221214595853,0.001,0.014,8.43E-75,AL033539.2,ECM
2.66E-79,0.110759132313762,0.039,0.014,9.48E-75,AP003464.1,MBM
2.89E-79,-0.105139141452456,0.046,0.087,1.03E-74,FGD6,ECM
3.03E-79,-0.148607172561676,0.291,0.369,1.08E-74,SLC16A4,ECM
3.39E-79,0.042310981441393,0.022,0.004,1.21E-74,RHOD,MBM
3.41E-79,0.105508396048551,0.05,0.022,1.22E-74,SGSM1,MBM
3.46E-79,-0.099027812805328,0.086,0.093,1.23E-74,ZSCAN18,ECM
3.52E-79,-0.036483688714544,0.002,0.017,1.25E-74,TMEM200C,ECM
3.56E-79,-0.041609197577057,0.002,0.016,1.27E-74,TMCO5A,ECM
3.83E-79,-0.113387605988035,0.055,0.096,1.37E-74,SGO1,ECM
3.92E-79,0.183165620919519,0.455,0.371,1.40E-74,MTUS1,MBM
4.27E-79,-0.171328123339483,0.276,0.353,1.52E-74,MTERF4,ECM
4.79E-79,-0.116678368443404,0.061,0.1,1.71E-74,LINC01291,ECM
4.83E-79,0.088730052842874,0.042,0.016,1.72E-74,UNC5CL,MBM
4.90E-79,-0.088740593844045,0.017,0.043,1.75E-74,ASB2,ECM
4.92E-79,0.132411777794208,0.089,0.053,1.75E-74,LINC02649,MBM
4.95E-79,-0.234179522878113,0.261,0.323,1.76E-74,GRK5,ECM
5.16E-79,0.124940698042034,0.122,0.078,1.84E-74,C1RL,MBM
5.27E-79,-0.142420329803626,0.076,0.12,1.88E-74,MYBL1,ECM
5.46E-79,-0.027343818790606,0.002,0.016,1.95E-74,AL356022.1,ECM
5.90E-79,-0.03932650076376,0.001,0.013,2.10E-74,AL590814.1,ECM
6.29E-79,0.132752966084028,0.112,0.08,2.24E-74,HES4,MBM
6.31E-79,0.175434683930138,0.239,0.18,2.25E-74,NMNAT1,MBM
7.05E-79,-0.047054564338988,0.001,0.016,2.51E-74,AC060834.2,ECM
7.09E-79,0.131891328742699,0.123,0.073,2.53E-74,FAM53B-AS1,MBM
7.12E-79,0.100656072640483,0.361,0.408,2.54E-74,KCNAB2,MBM
7.92E-79,-0.187147317120789,0.185,0.209,2.82E-74,RNF144B,ECM
8.31E-79,0.08650512142748,0.302,0.346,2.96E-74,TTYH3,MBM
9.37E-79,-0.150456293603305,0.308,0.386,3.34E-74,RPA3,ECM
9.99E-79,0.075535398281642,0.047,0.02,3.56E-74,TRIM6,MBM
1.03E-78,0.184833702431265,0.277,0.225,3.66E-74,LRRC75A,MBM
1.12E-78,0.168431901520605,0.224,0.164,3.99E-74,TRIM14,MBM
1.29E-78,-0.226455020955171,0.278,0.348,4.60E-74,TUSC3,ECM
1.32E-78,-0.039136086634425,0.026,0.057,4.70E-74,CDKL2,ECM
1.37E-78,0.104026856264017,0.074,0.037,4.88E-74,BICDL1,MBM
1.55E-78,0.153706112349056,0.196,0.145,5.51E-74,AC073342.1,MBM
1.68E-78,0.161115243850832,0.257,0.195,6.00E-74,FAM161A,MBM
1.72E-78,0.060185905456216,0.04,0.015,6.13E-74,FP565260.1,MBM
1.72E-78,-0.137810808366882,0.112,0.17,6.13E-74,LINC01006,ECM
2.07E-78,0.063984803549104,0.049,0.02,7.38E-74,SSC5D,MBM
2.25E-78,-0.11095860189106,0.053,0.095,8.01E-74,AC007285.1,ECM
2.60E-78,-0.182317003546445,0.35,0.411,9.26E-74,CARD8,ECM
2.71E-78,-0.038126187199565,0,0.012,9.65E-74,AL359924.1,ECM
2.80E-78,-0.084724318279145,0.096,0.146,9.99E-74,TRMT10C,ECM
3.27E-78,-0.114048238048335,0.071,0.104,1.17E-73,SNAI2,ECM
3.47E-78,0.10160086317235,0.086,0.047,1.24E-73,FAHD2B,MBM
3.52E-78,0.14131132708823,0.086,0.075,1.25E-73,AC136431.1,MBM
3.91E-78,0.235982620061788,0.519,0.485,1.39E-73,ZDHHC14,MBM
4.00E-78,-0.176360433178677,0.379,0.46,1.43E-73,NOTCH2,ECM
4.27E-78,-0.035088401270633,0,0.011,1.52E-73,AC069114.1,ECM
4.62E-78,0.117290988727903,0.066,0.032,1.65E-73,MYO16,MBM
5.00E-78,0.054119764471291,0.019,0.003,1.78E-73,LINC01510,MBM
5.51E-78,-0.222128622347366,0.658,0.71,1.96E-73,AC008771.1,ECM
5.70E-78,-0.035712120037098,0.009,0.031,2.03E-73,B3GALT1,ECM
5.99E-78,-0.098577050096172,0.122,0.181,2.14E-73,UBFD1,ECM
6.19E-78,0.184238336612599,0.344,0.301,2.21E-73,MRPS21,MBM
6.77E-78,0.091017045470937,0.06,0.028,2.41E-73,PTPN7,MBM
6.80E-78,0.060814791324461,0.496,0.544,2.43E-73,ULK4,MBM
6.82E-78,0.107077483811055,0.041,0.017,2.43E-73,AC104248.1,MBM
6.83E-78,0.156058562187709,0.203,0.148,2.44E-73,IFT122,MBM
6.87E-78,0.21763042143458,0.414,0.413,2.45E-73,AC006059.1,MBM
8.41E-78,0.175508809675473,0.314,0.249,3.00E-73,ZNF7,MBM
9.02E-78,-0.049190644973984,0.011,0.033,3.22E-73,RGPD2,ECM
9.12E-78,-0.191688491284272,0.306,0.372,3.25E-73,RBM3,ECM
9.30E-78,0.065335171291586,0.047,0.02,3.31E-73,PYCARD,MBM
9.99E-78,0.022398098861209,0.265,0.31,3.56E-73,IDI2-AS1,MBM
1.05E-77,-0.18760406858866,0.284,0.36,3.75E-73,SPRY4,ECM
1.06E-77,0.159998536907849,0.213,0.157,3.78E-73,PGAP2,MBM
1.17E-77,-0.205379695317727,0.551,0.611,4.17E-73,MEF2A,ECM
1.17E-77,-0.049438529783092,0.005,0.025,4.18E-73,PCDH9-AS4,ECM
1.18E-77,-0.044883528443317,0.008,0.028,4.20E-73,LINC01202,ECM
